Id,Informacion,Anfitrion,SaldoPendiente
HUESPED_1,[JuanVelasco,12345,jvelasco@gmail.com,3001236545],HUESPED_2,0
HUESPED_2,[AngleicaSalas,54321,asalas@hotmail.com,3013758907],HUESPED_4,0
HUESPED_3,[RebecaPerez,34512,rperez@gmail.com,3026787530],HUESPED_4,0
HUESPED_4,[EricAyala,12354,eayala@gmail.com,3036751293],HUESPED_4,0
HUESPED_5,[JoseBaena,98857,jbaena@hotmail.com,3078913283],HUESPED_4,0
HUESPED_6,[CarlosPaez,78352,cpaez@hotmail.com,3148377523],HUESPED_6,0
HUESPED_7,[MariaFerrer,56231,mferrer@gmail.com,3136471723],HUESPED_6,0
HUESPED_8,[JessicaIbarra,12948,jibarra@hotmail.com,3178102734],HUESPED_6,0
HUESPED_9,[FernandoVelez,16124,fvelez@hotmail.com,3181027412],HUESPED_9,0
HUESPED_10,[UrsulaCuesta,12098,ucuesta@gmail.com,3208179238],HUESPED_2,0
